"","SoS_Lookup_CU_ID","MapData_CU_ID","CU_MetricsData_CU_ID","CU_TimeSeriesData_CU_ID","Pop_TimeSeriesData_CU_ID","CU_ID","Species","Species_Full","CU_Name","CU_Acro","Lat","Lon","FAZ","MAZ","JAZ","Area","RunTiming","AvGen","LifeHistory"
"1","CK_03","CK-03","CK-03","CK-03","CK-03","CK-03","Ck","Chinook","Lower Fraser River_FA_0.3","LFR-fall","49.218903","-121.945066","NA","NA","NA","Fraser_Lower","Fall","4","Ocean"
"2","CK_04","CK-04","CK-04","CK-04","CK-04","CK-04","Ck","Chinook","Lower Fraser River_SP_1.3","LFR-spring","49.460826","-122.4924814","NA","NA","NA","Fraser_Lower","Spring","5","Stream"
"3","CK_05","CK-05","CK-05","CK-05","CK-05","CK-05","Ck","Chinook","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT","49.566286","-122.634339","NA","NA","NA","Fraser_Lower","Summer","5","Stream"
"4","CK_06","CK-06","CK-06","CK-06","CK-06","CK-06","Ck","Chinook","Lower Fraser River_SU_1.3","LFR-summer","49.72016855","-122.157779","NA","NA","NA","Fraser_Lower","Summer","5","Stream"
"5","CK_07","CK-07","CK-07","CK-07","CK-07","CK-07","Ck","Chinook","Maria Slough_SU_0.3","Maria","49.227919","-121.733305","NA","NA","NA","Fraser_Lower","Summer","4","Ocean"
"6","CK_08","CK-08","CK-08","CK-08","CK-08","CK-08","Ck","Chinook","Middle Fraser-Fraser Canyon_SP_1.3","FRCanyon","49.977915","-121.512032","NA","NA","NA","Fraser_Upper","Spring","5","Stream"
"7","CK_09","CK-09","CK-09","CK-09","CK-09","CK-09","Ck","Chinook","Middle Fraser River-Portage_FA_1.3","Portage","50.70803","-122.270059","NA","NA","NA","Fraser_Upper","Fall","5","Stream"
"8","CK_10","CK-10","CK-10","CK-10","CK-10","CK-10","Ck","Chinook","Middle Fraser River_SP_1.3","MFR-spring","52.72549964","-122.6181922","NA","NA","NA","Fraser_Upper","Spring","5","Stream"
"9","CK_11","CK-11","CK-11","CK-11","CK-11","CK-11","Ck","Chinook","Middle Fraser River_SU_1.3","MFR-summer","52.94072095","-123.4585458","NA","NA","NA","Fraser_Upper","Summer","5","Stream"
"10","CK_12","CK-12","CK-12","CK-12","CK-12","CK-12","Ck","Chinook","Upper Fraser River_SP_1.3","UFR-spring","53.67953103","-120.9021509","NA","NA","NA","Fraser_Upper","Spring","5","Stream"
"11","CK_13","CK-13","CK-13","CK-13","CK-13","CK-13","Ck","Chinook","South Thompson_SU_0.3","STh-0.3","50.94251125","-119.4355425","NA","NA","NA","Fraser_Thompson","Summer","4","Ocean"
"12","CK_14","CK-14","CK-14","CK-14","CK-14","CK-14","Ck","Chinook","South Thompson_SU_1.3","STh-1.3","50.8752315","-119.251533","NA","NA","NA","Fraser_Thompson","Summer","5","Stream"
"13","CK_15","CK-15","CK-15","CK-15","CK-15","CK-15","Ck","Chinook","Shuswap River_SU_0.3","STh-SHUR","50.576293","-118.8984295","NA","NA","NA","Fraser_Thompson","Summer","4","Ocean"
"14","CK_16","CK-16","CK-16","CK-16","CK-16","CK-16","Ck","Chinook","South Thompson-Bessette Creek_SU_1.2","STh-BESS","50.25159","-118.935535","NA","NA","NA","Fraser_Thompson","Summer","4","Stream"
"15","CK_17","CK-17","CK-17","CK-17","CK-17","CK-17","Ck","Chinook","Lower Thompson_SP_1.2","LTh","50.336506","-120.9842179","NA","NA","NA","Fraser_Thompson","Spring","4","Stream"
"16","CK_18","CK-18","CK-18","CK-18","CK-18","CK-18","Ck","Chinook","North Thompson_SP_1.3","NTh-spr","51.83759443","-119.6156737","NA","NA","NA","Fraser_Thompson","Spring","5","Stream"
"17","CK_19","CK-19","CK-19","CK-19","CK-19","CK-19","Ck","Chinook","North Thompson_SU_1.3","NTh-sum","51.43836057","-120.0999803","NA","NA","NA","Fraser_Thompson","Summer","5","Stream"
"18","CK_82","CK-82","CK-82","CK-82","CK-82","CK-82","Ck","Chinook","Upper Adams River_SU_x.x","UADAMS","51.411","-119.456","NA","NA","NA","Fraser_Thompson","Summer","5","Ocean"
"19","","CO-04","","","","CO-04","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"20","CO_02","CO-05","CO-02","CO_02","CO_02","CO-05","Co","Coho","Fraser Canyon","FrCny","NA","NA","FRCany","GStr","FRCany+GStr","Fraser_Canyon","NA","3","NA"
"21","CO_03","CO-07","CO-03","CO_03","CO_03","CO-07","Co","Coho","Lower Thompson","Lthom","NA","NA","LTHOM","GStr","LTHOM+GStr","Fraser_Thompson","NA","3","NA"
"22","CO_05","CO-08","CO-05","CO_05","CO_05","CO-08","Co","Coho","South Thompson","STh","NA","NA","STHOM","GStr","STHOM+GStr","Fraser_Thompson","NA","3","NA"
"23","CO_04","CO-09","CO-04","CO_04","CO_04","CO-09","Co","Coho","North Thompson","NTh","NA","NA","NTHOM","GStr","NTHOM+GStr","Fraser_Thompson","NA","3","NA"
"24","","CO-47","","","","CO-47","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"25","CO_01","CO-48","CO-01","CO_01","CO_06","CO-48","Co","Coho","Middle Fraser","MFr","NA","NA","MFR","GStr","MFR+GStr","Fraser_Mid","NA","3","NA"
"26","CU_1","SEL-07-01","CU-1","CU_1","L-07-01","CU-01","Sk","Sockeye","Bowron_ES","ES_Bowr","53.145776","-121.093205","UFR","GStr","UFR+GStr","Fraser_Mid","Early Summer","4","Lake"
"27","CU_10","SEL-06-11","CU-10","CU_10","L-06-11","CU-10","Sk","Sockeye","Seton_L","L_Set","50.685389","-122.101863","NTh","GStr","NTh+GStr","Fraser_Thompson","Late","4","Lake"
"28","CU_11","SEL-03-04","CU-11","CU_11","L-03-04","CU-11","Sk","Sockeye","Harrison_US_L","L_HarrUS","49.555384","-121.862927","LFR","GStr","LFR+GStr","Fraser_Lower","Late","4","Lake"
"29","CU_12","SEL-04-01","CU-12","CU_12","L-04-01","CU-12","Sk","Sockeye","Lillooet_Harr_L","L_LilHarr","50.261719","-122.532211","LILL","GStr","LILL+GStr","Fraser_Lower","Late","4","Lake"
"30","CU_13","SEL-03-03","CU-13","CU_13","L-03-03","CU-13","Sk","Sockeye","Harrison_DS_L","L_HarrDS","49.566419","-121.869325","LFR","GStr","LFR+GStr","Fraser_Lower","Late","4","Lake"
"31","CU_14","SEL-05-02","CU-14","CU_14","L-05-02","CU-14","Sk","Sockeye","Nahatlatch_ES","ES_Naha","49.978597","-121.775875","FRCany","GStr","FRCany+GStr","Fraser_Canyon","Early Summer","4","Lake"
"32","CU_15","SEL-06-16","CU-15","CU_15","L-06-16","CU-15","Sk","Sockeye","Taseko_ES","ES_Tas","51.335367","-123.615414","MFR","GStr","MFR+GStr","Fraser_Mid","Early Summer","4","Lake"
"33","CU_16","SER-02","CU-16","CU_16","R-02","CU-16","Sk","Sockeye","Widgeon_RT","RT_Wid","49.366612","-122.637603","LFR","GStr","LFR+GStr","Fraser_Lower","NA","4","River"
"34","CU_17","SEL-03-01","CU-17","CU_17","L-03-01","CU-17","Sk","Sockeye","Chilliwack_ES","ES_Chill","49.079098","-121.435047","LFR","GStr","LFR+GStr","Fraser_Lower","Early Summer","4","Lake"
"35","CU_18","SEL-06-14","CU-18","CU_18","L-06-14","CU-18","Sk","Sockeye","Takla_Trem_EStu","Estu","NA","NA","NA","NA","NA","NA","Early Stuart","4","Lake"
"36","CU_19","SEL-06-01","CU-19","CU_19","L-06-01","CU-19","Sk","Sockeye","Anderson_Seton_ES","ES_AndSet","NA","NA","NA","NA","NA","NA","Early Summer","4","Lake"
"37","CU_2","SEL-10-01","CU-2","CU_2","L-10-01","CU-02","Sk","Sockeye","Kamloops_ES","ES_Kaml","50.731927","-120.602129","NTh","GStr","NTh+GStr","Fraser_Thompson_Lower","Early Summer","4","Lake"
"38","CU_20","SEL-09-02","CU-20","CU_20","L-09-02","CU-20","Sk","Sockeye","Shuswap_ES","ES_Shu","NA","NA","NA","NA","NA","NA","Early Summer","4","Lake"
"39","CU_21","SEL-06-13","CU-21","CU_21","L-06-13","CU-21","Sk","Sockeye","Takla_Trem_S_S","S_TakTremStu","NA","NA","NA","NA","NA","NA","Summer","4","Lake"
"40","CU_22","SEL-06-10","CU-22","CU_22","L-06-10","CU-22","Sk","Sockeye","Quesnel_S","S_Ques","NA","NA","NA","NA","NA","NA","Summer","4","Lake"
"41","CU_23","SEL-09-03","CU-23","CU_23","L-09-03","CU-23","Sk","Sockeye","Shuswap_L","L_Shu","NA","NA","NA","NA","NA","NA","Late","4","Lake"
"42","CU_3","SEL-06-20","CU-3","CU_3","L-06-20","CU-03","Sk","Sockeye","Nadina_Francois_ES","ES_NadFran","54.025274","-125.690174","MFR","GStr","MFR+GStr","Fraser_Mid","Early Summer","4","Lake"
"43","CU_4","SEL-10-03","CU-4","CU_4","L-10-03","CU-04","Sk","Sockeye","NBarriere_ES","ES_Nbarr","51.330911","-119.853905","NTh","GStr","NTh+GStr","Fraser_Thompson","Early Summer","4","Lake"
"44","CU_5","SEL-03-05","CU-5","CU_5","L-03-05","CU-05","Sk","Sockeye","Pitt_ES","ES_Pitt","49.428248","-122.541373","LFR","GStr","LFR+GStr","Fraser_Lower","Early Summer","4","Lake"
"45","","SEL-06-02","","","L-06-02","CU-06","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"46","CU_6","SEL-06-03","CU-6","CU_6","L-06-03","CU-06","Sk","Sockeye","Chilko_S_ES","S_Chilk","51.325983","-124.095829","MFR","GStr","MFR+GStr","Fraser_Mid","Early Summer","4","Lake"
"47","CU_7","SEL-06-07","CU-7","CU_7","L-06-07","CU-07","Sk","Sockeye","Fran_Fras_S","S_FranFras","54.074324","-124.767103","MFR","GStr","MFR+GStr","Fraser_Mid","Summer","4","Lake"
"48","CU_8","SEL-03-02","CU-8","CU_8","L-03-02","CU-08","Sk","Sockeye","Cultus_L","L_Cult","49.061475","-121.983312","LFR","GStr","LFR+GStr","Fraser_Lower","Late","4","Lake"
"49","CU_9","SER-03","CU-9","CU_9","R-03","CU-09","Sk","Sockeye","Harrison_R","RT_HarrR","49.286905","-121.899221","LFR","GStr","LFR+GStr","Fraser_Lower","NA","4","River"
"50","","SEL-17-10","","","","Marie","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
